Alternative,Subset,g1,g2,g3,g4,Class
a282,NZ,80.15,95.37,2.97,20,Cl2
a283,SI,80.67,415.41,9.87,61,Cl3
a284,SI,77.92,173.55,7.5,55,Cl2
a285,SI,99.24,1212.51,3.98,100,Cl4
a286,SI,5.34,243.59,30.93,58,Cl2
a287,HS,35.15,36.92,0.69,20,Cl1
a288,NJN,27.79,136.93,17.62,59.29,Cl2
a289,SI,23.86,71.99,6.99,40,Cl1
a290,NZ,93.33,495.8,2.72,70,Cl3
a291,HS,82.07,256.05,1.64,87,Cl3
a292,NZ,103.28,669.47,4.09,100,Cl3
a293,SI,75.06,65.4,5.95,80,Cl3
a294,HS,48.86,116.84,2.2,45,Cl2
a295,NZ,55.09,282.04,18.24,92,Cl2
a296,HS,46.42,364.35,2.18,75,Cl3
a297,SI,62.51,194.01,5.33,80,Cl2
a298,NJN,42.33,153.69,9.11,48.08,Cl2
a299,HS,0,6,0,15,Cl1
a300,HS,57.24,552.46,0.7,82,Cl3
a301,NZ,105.68,218.17,0.88,35,Cl3
a302,HS,57.82,546.64,3.34,80,Cl4
a303,NZ,82.19,90.73,1.3,40,Cl2
a304,SI,19.46,785.11,23.11,80,Cl3
a305,SI,20.59,304.06,9.57,75,Cl1
a306,SI,23.18,289.75,16.48,80,Cl3
a307,SI,49.23,219.73,12.82,66,Cl2
a308,SI,70.73,111.46,11.27,71,Cl2
a309,NZ,37.42,817.38,1.38,46,Cl1
a310,SI,43.52,182.44,22.18,65,Cl2
a311,NZ,33.63,157.83,2.88,68,Cl1
a312,SI,80.72,319.35,15.06,100,Cl3
a313,SI,82.69,602.71,8.36,93,Cl3
a314,SI,68.36,533.11,7.06,78,Cl3
a315,SI,75.66,214.95,14.84,90,Cl3
a316,SI,57.28,373.81,23.93,79,Cl3
a317,NZ,63.84,835.45,10.62,88,Cl3
a318,NZ,55.2,213.36,7.05,85,Cl2
a319,SI,47.79,215.87,9.47,70,Cl2
a320,SI,106,531.45,15.18,60,Cl3
a321,NJN,0,13.27,8.29,0,Cl1
a322,SI,27.86,240.2,14.84,82,Cl2
a323,NZ,73.52,574.81,1.16,73,Cl2
a324,NZ,45.27,149.18,8.05,60,Cl2
a325,NZ,65.96,104.96,0.93,46,Cl1
a326,HS,45.86,480.15,0.15,81,Cl3
a327,NJN,43.87,13.18,0.03,26.27,Cl1
a328,HS,39.09,1172.76,0.2,76,Cl2
a329,HS,47.9,924.59,0.55,63,Cl3
a330,HS,38.18,757.41,0.11,45,Cl2
a331,HS,45.05,967.03,0.19,38,Cl3
a332,NJN,32.79,45.25,0.28,0,Cl1
a333,SI,22.02,354.53,47.14,74,Cl2
a334,NJN,27.72,18.36,0,32.12,Cl1
a335,HS,30.95,17,0,15,Cl1
a336,HS,33.5,167.42,0.12,28,Cl2
a337,HS,38.58,44.47,0.66,41,Cl2
a338,HS,27.64,31.05,0,28,Cl1
a339,NZ,33.61,7,0,42,Cl1
a340,HS,37.16,10,0,17,Cl1
a341,HS,37.76,21,0,15,Cl1
a342,HS,42.8,17,0,10,Cl2
a343,HS,15.02,0.24,0,10,Cl1
a344,HS,32.05,0,0,15,Cl1
a345,NJN,41.05,20.41,2.07,38.56,Cl1
a346,SI,110.66,15,0,40,Cl2
a347,NZ,107.25,865,15.29,100,Cl4
a348,NJN,67.28,102,11.83,70.72,Cl3
a349,NJN,44.09,0,0,31.36,Cl1
a350,NZ,109.94,290.43,4.69,40,Cl3
a351,NJN,37.79,19.61,0.68,66.56,Cl2
a352,HS,14.3,3,0,14,Cl1
a353,HS,12.33,30,0,38,Cl1
a354,HS,0,0,0,39,Cl1
a355,NJN,87.73,776.96,10.4,78.84,Cl4
a356,NZ,66.98,100.95,1.53,48,Cl2
a357,NZ,70.26,252.18,5.81,73,Cl2
a358,NZ,97.74,602.02,12.18,51,Cl3
a359,SI,53.78,234.57,48.36,74,Cl3
a360,HS,44,8.58,0.13,51,Cl2
a361,SI,3.93,332.33,89.71,33,Cl2
a362,SI,14.59,190.27,8.68,74,Cl2
a363,NZ,87.31,207.33,40.31,71,Cl3
a364,SI,14.07,444,21.43,68,Cl2
a365,NZ,92.73,4,0,46,Cl3
a366,HS,56.47,190.68,3.87,7,Cl3
a367,NZ,56.18,268.63,1.98,40,Cl2
a368,TA,27.44,269,0.11,40,Cl2
a369,TA,23.66,275.89,0.18,90,Cl2
a370,TA,39.31,49.2,0.47,50,Cl3
a371,TA,28.96,192,0.4,60,Cl3
a372,NJN,38.7,11.28,0.02,8.81,Cl1
a373,TA,22.42,50,0,40,Cl2
a374,TA,24.34,263,0,50,Cl2
a375,TA,22.43,87,0,35,Cl1
a376,TA,40.92,80,0,70,Cl4
a377,TA,25.26,42,0,55,Cl2
a378,NZ,58,20,1.67,34,Cl1
a379,NJN,25.38,3.84,0.1,8.81,Cl1
a380,NJN,30.47,12.57,0.33,21.88,Cl1
a381,NZ,44.54,871,5.89,89,Cl2
a382,NJN,44.54,44.4,1.26,42.06,Cl2
a383,NZ,81.91,450.36,5.43,91,Cl4
a384,HS,30.38,25,0,11,Cl2
a385,HS,30.59,18,0,5,Cl2
a386,HS,34.05,365,0,36,Cl2
a387,SI,28.62,156.02,0.72,60,Cl1
a388,SI,54.76,712.26,7.53,70,Cl3
a389,SI,62.12,210.06,1.23,46,Cl2
a390,SI,70.25,194.05,0.81,58,Cl2
a391,SI,75.51,664.73,5.71,92,Cl3
a392,HS,48.76,175.08,0.3,30,Cl2
a393,NZ,58.58,57.74,7.82,52,Cl2
a394,SI,52.91,90.21,0.5,60,Cl2
a395,SI,90.54,242.61,0.68,63,Cl3
a396,SI,69.75,506.73,5.81,80,Cl3
a397,SI,68.18,946.18,3.41,78,Cl2
